model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 S-MAX,2014,11995,Automatic,25459,Diesel,300,39.8,2.2,ford
 SLK,2008,5850,Automatic,78954,Petrol,300,34.4,1.8,merc
 Golf,2019,29250,Semi-Auto,9430,Petrol,145,37.7,2,volkswagen
 RAV4,2015,13200,Manual,10763,Diesel,125,57.6,2,toyota
 Up,2020,10950,Manual,1000,Petrol,145,54.3,1,volkswagen
 Yaris,2017,12495,Automatic,13356,Hybrid,0,86,1.5,toyota
 Q7,2019,46426,Automatic,6063,Diesel,145,32.8,3,Audi
 1 Series,2017,19761,Semi-Auto,39681,Petrol,200,39.8,3,BMW
 A3,2015,9995,Manual,29565,Petrol,125,53.3,1.4,Audi
 A Class,2017,17699,Semi-Auto,6498,Petrol,145,52.3,1.6,merc
 Santa Fe,2017,22480,Semi-Auto,26551,Diesel,150,42.8,2.2,hyundi
 Golf,2018,13941,Manual,19642,Petrol,145,54.3,1.4,volkswagen
 Golf SV,2017,13465,Manual,16539,Diesel,30,65.7,2,volkswagen
 Crossland X,2019,12397,Manual,17123,Petrol,145,44.8,1.2,vauxhall
 Ioniq,2018,13709,Automatic,38469,Hybrid,135,78.5,1.6,hyundi
 A4,2016,15990,Manual,30625,Diesel,30,67.3,2,Audi
